trade_code,,,,
005137,CXLHJZJXHH,长信量化价值精选混合,混合型,CHANGXINLIANGHUAJIAZHIJINGXUANHUNHE
005138,QHKYRXHHA,前海开源润鑫混合A,混合型,QIANHAIKAIYUANRUNXINHUNHEA
005139,QHKYRXHHC,前海开源润鑫混合C,混合型,QIANHAIKAIYUANRUNXINHUNHEC
005140,HXRPTRHHA,华夏睿磐泰荣混合A,混合型,HUAXIARUIPANTAIRONGHUNHEA
005141,HXRPTRHHC,华夏睿磐泰荣混合C,混合型,HUAXIARUIPANTAIRONGHUNHEC
005142,ZRHGSDXFZTA,中融沪港深大消费主题A,混合型,ZHONGRONGHUGANGSHENDAXIAOFEIZHUTIA
005143,ZRHGSDXFZTC,中融沪港深大消费主题C,混合型,ZHONGRONGHUGANGSHENDAXIAOFEIZHUTIC
005144,DWYYZQA,东吴优益债券A,债券型,DONGWUYOUYIZHAIQUANA
005145,DWYYZQC,东吴优益债券C,债券型,DONGWUYOUYIZHAIQUANC
005146,XYFRLHPZHH,兴银丰润灵活配置混合,混合型,XINGYINFENGRUNLINGHUOPEIZHIHUNHE
005148,XHHQTLHBE,新华活期添利货币E,货币型,XINHUAHUOQITIANLIHUOBIE
005150,HTCXYCHBA,红土创新优淳货币A,货币型,HONGTUCHUANGXINYOUCHUNHUOBIA
005151,HTCXYCHBB,红土创新优淳货币B,货币型,HONGTUCHUANGXINYOUCHUNHUOBIB
005152,NYHS300ZSC,农银沪深300指数C,股票指数,NONGYINHUSHEN300ZHISHUC
005153,NYHLRRXJYXHBC,农银汇理日日鑫交易型货币C,货币型,NONGYINHUILIRIRIXINJIAOYIXINGHUOBIC
005154,BSXXLHPZHHA,博时鑫禧灵活配置混合A,混合型,BOSHIXINXILINGHUOPEIZHIHUNHEA
005155,BSXXLHPZHHC,博时鑫禧灵活配置混合C,混合型,BOSHIXINXILINGHUOPEIZHIHUNHEC
005156,JSLHZCPZHHA,嘉实领航资产配置混合A,混合-FOF,JIASHILINGHANGZICHANPEIZHIHUNHEA
